top,left,middle,bottom,right,current
627,627,642,694,585,0.76
615,615,627,681,568,0.81
615,615,623,681,564,1.05
615,615,619,681,560,0.9
615,615,615,681,557,0.9
615,615,611,681,556,0.86
615,615,607,681,556,0.9
615,615,603,681,556,0.9
615,615,601,681,556,0.86
615,615,599,681,556,0.71
615,615,599,681,557,0.81
615,615,598,681,557,0.86
615,615,598,681,557,0.81
615,615,598,681,557,0.95
615,615,598,681,558,0.9
615,615,598,681,558,0.86
615,615,598,681,558,0.9
615,615,598,681,559,0.9
615,615,598,681,559,0.95
615,615,599,681,561,0.81
615,615,598,681,561,0.9
615,615,598,681,562,1
615,615,599,681,565,0.9
625,625,610,692,577,0.71
615,615,607,681,580,0.81
615,615,610,681,585,0.56
615,615,614,681,590,0.81
614,614,618,681,594,0.66
626,626,634,694,609,0.71
614,615,626,681,603,0.81
614,615,635,681,611,0.71
615,615,637,681,612,0.76
615,615,638,681,613,0.95
615,615,641,687,621,0.66
615,615,640,681,613,0.71
615,615,641,681,613,0.76
615,615,641,681,613,0.66
615,615,641,681,613,0.81
614,614,641,681,613,0.86
614,614,641,681,613,0.95
615,614,641,681,613,0.86
614,615,641,681,614,0.32
615,615,641,681,610,0.27
627,627,654,694,622,0.9
615,615,641,681,610,0.81
615,615,641,681,610,0.76
615,615,641,681,610,0.76
615,615,641,681,610,0.86
615,615,641,681,610,0.76
615,615,641,681,611,0.86
629,621,644,682,610,0.86
615,615,641,681,610,0.71
615,615,642,681,610,0.86
615,615,641,681,610,0.95
615,615,642,681,610,0.9
615,615,641,681,610,0.81
615,615,641,681,610,0.81
615,615,641,681,610,0.86
625,625,652,693,620,0.76
614,614,641,681,609,0.95
614,614,641,681,610,0.95
615,615,641,681,610,1
615,615,641,681,610,1
615,615,641,681,610,1
615,615,641,681,610,1.05
615,614,641,681,610,0.95
614,615,641,681,610,0.9
615,615,641,681,610,0.95
615,615,641,681,611,1
615,615,641,681,611,0.9
615,615,641,681,611,1.05
615,615,641,681,610,0.9
615,615,641,681,611,0.86
615,615,641,681,610,0.95
615,615,641,681,610,0.81
615,615,641,681,611,0.81
615,615,641,681,611,0.9
615,615,641,681,611,0.9
615,615,641,681,611,0.76
616,616,641,681,612,0.81
616,616,642,682,612,0.86
616,616,641,681,613,0.76
615,615,641,681,612,0.95
615,615,641,681,611,0.71
616,616,641,681,612,0.81
627,627,653,693,623,0.86
616,616,642,681,613,1.05
616,616,642,681,613,1
616,616,642,682,613,0.9
616,616,642,681,613,0.86
616,616,642,681,613,0.76
616,616,642,681,613,0.95
616,616,642,681,613,0.81
616,616,642,681,613,0.81
616,616,642,681,614,0.86
616,616,642,682,613,0.9
616,617,641,681,613,0.95
616,618,648,690,626,0.71
617,616,642,681,613,0.95
617,616,642,681,614,0.86
617,619,644,682,614,0.86
616,616,642,681,614,1.05
617,617,644,681,614,0.95
617,617,642,680,615,0.86
616,616,642,680,614,1
616,616,642,680,614,0.9
616,616,642,680,614,0.81
616,616,642,680,614,0.9
616,616,642,680,613,0.86
616,616,642,680,614,0.86
616,616,642,680,627,0.71
617,617,642,680,615,0.86
617,617,642,680,615,0.86
617,616,642,680,615,0.81
616,616,641,680,614,0.9
616,616,641,680,614,0.81
627,627,653,692,626,0.9
616,616,642,681,614,0.76
616,616,642,680,614,1.05
628,628,654,693,627,0.76
629,629,655,693,627,0.81
616,616,642,680,615,0.71
615,616,641,680,615,0.9
615,616,641,680,615,0.76
616,616,641,681,615,0.81
616,617,642,680,616,0.76
617,617,642,680,617,0.9
617,617,643,680,616,0.86
617,617,642,679,616,0.9
632,625,646,682,616,0.86
618,617,642,679,616,0.86
618,618,643,679,616,0.81
618,618,643,679,616,0.76
618,618,643,679,616,0.86
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.81
618,618,643,679,616,0.76
618,618,643,679,616,0.71
618,618,643,679,616,0.81
618,618,643,679,616,0.86
618,618,643,679,616,0.81
618,618,643,679,616,0.81
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.81
618,618,643,679,616,0.76
618,618,643,679,616,0.81
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,643,679,616,0.76
618,618,642,680,620,0.95
618,618,642,680,620,0.81
617,617,642,680,620,0.86
617,617,642,680,619,0.81
617,617,642,680,619,1
617,617,642,680,619,0.86
632,622,641,679,619,0.76
617,617,642,680,619,0.81
617,617,642,680,619,1
617,617,642,680,620,0.95
617,617,642,680,619,0.95
617,617,642,680,619,0.81
617,617,642,680,619,0.86
617,617,642,680,619,0.9
617,617,642,680,619,0.86
617,617,642,680,620,0.76
617,617,642,680,620,0.86
617,617,642,680,619,0.95
617,617,642,680,620,0.81
617,617,642,680,619,0.95
629,628,654,693,632,0.71
617,617,642,681,619,0.86
618,616,642,680,619,0.86
617,617,642,680,620,0.9
617,617,642,681,620,0.95
617,617,642,681,620,0.95
617,617,642,681,620,0.76
617,617,642,681,620,0.86
617,617,642,681,619,1
616,616,642,681,620,0.76
616,616,642,681,619,1
616,616,641,681,619,0.81
616,616,641,681,619,1
616,616,642,681,619,1
617,617,642,681,620,1.05
617,617,642,681,620,0.81
617,617,642,681,620,0.9
617,617,642,681,620,0.81
616,616,642,681,620,0.9
616,616,642,681,620,0.95
617,617,642,681,620,1.1
617,617,642,681,620,1
617,617,642,682,620,1
617,617,642,681,620,0.9
616,616,642,681,619,0.86
617,616,642,681,618,0.95
617,617,642,681,619,0.76
617,617,642,681,618,1.05
617,617,642,681,618,0.81
617,618,642,681,618,0.86
618,618,642,681,617,0.9
618,618,642,681,616,0.9
618,618,643,682,614,1.05
618,618,642,681,612,1
618,618,642,681,611,0.81
618,618,642,681,608,1
618,617,642,681,606,0.86
618,618,643,682,603,1
618,618,642,681,600,1.05
630,630,655,695,609,0.71
617,617,642,681,581,0.9
617,617,642,681,577,0.95
617,617,642,681,573,0.76
617,617,642,681,569,0.9
617,617,642,682,565,0.9
617,617,642,681,562,0.71
617,617,642,682,560,0.81
617,617,641,681,558,0.9
617,617,641,681,557,0.86
617,617,641,682,556,0.76
617,617,640,681,556,0.95
617,617,640,682,556,0.86
618,618,640,682,555,0.86
618,618,640,682,555,0.81
618,618,640,682,555,0.9
618,618,640,682,555,0.86
618,618,640,682,555,0.9
618,618,640,682,555,0.86
618,618,640,682,555,0.9
618,618,640,682,555,0.81
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.86
618,618,640,682,555,0.9
618,618,640,682,555,0.86
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.95
618,618,640,682,555,0.9
618,618,640,682,555,0.9
617,617,641,681,558,0.9
617,617,641,681,557,0.86
617,617,641,682,556,0.76
617,617,640,681,556,0.95
617,617,640,682,556,0.86
618,617,639,681,556,0.81
629,629,651,695,567,0.71
617,617,637,681,556,0.9
617,617,636,681,556,0.9
617,617,633,681,556,0.76
617,617,631,681,556,0.86
617,617,629,681,555,0.86
616,617,626,681,555,0.9
617,617,624,682,555,0.76
617,617,621,681,555,0.76
629,629,630,695,567,0.46
617,617,614,681,556,0.76
617,617,611,681,557,0.71
617,617,608,681,556,0.56
617,617,605,681,556,0.71
617,617,603,682,556,0.66
617,617,601,681,557,0.71
617,617,600,682,557,0.61
617,617,599,681,557,0.76
617,617,598,681,558,0.56
617,617,598,681,558,0.76
616,616,598,681,558,0.66
617,617,597,682,558,0.66
617,617,597,681,558,0.71
617,618,597,681,558,0.76
617,617,597,682,558,0.9
617,617,597,682,559,0.56
617,617,597,682,559,0.66
617,617,597,682,559,0.71
616,616,597,682,559,0.56
616,616,596,682,559,0.61
615,615,596,681,559,0.51
615,615,596,682,559,0.61
614,614,596,682,559,0.61
613,613,596,682,560,0.66
613,613,596,681,560,0.66
612,612,597,682,560,0.66
611,611,596,681,560,0.66
610,610,596,681,561,0.81
609,609,596,681,561,0.71
607,607,596,681,563,0.66
607,606,596,681,564,0.61
605,605,596,681,567,0.71
603,603,596,681,569,0.66
602,602,596,681,572,0.66
600,600,595,681,576,0.51
599,599,595,681,581,0.51
597,597,595,681,584,0.51
597,597,596,682,587,0.56
595,595,595,682,591,0.71
595,595,595,681,594,0.66
595,595,595,681,597,0.66
595,596,595,681,600,0.61
595,595,595,681,603,0.51
595,594,595,681,606,0.71
595,595,595,681,608,0.51
599,598,596,680,610,0.56
595,595,595,682,612,0.56
594,594,595,681,614,0.71
594,594,595,681,616,0.51
596,594,595,681,617,0.66
594,594,595,682,618,0.46
607,608,681,595,620,0.46
594,594,595,681,619,0.51
594,594,595,681,618,0.61

